document_id,clean_text,sentiment
11,"The 5 years was worth the wait. Amazing animation, beautiful characters with rich backstories, the fights are amazing, Gwen's story is amazing, EVERYTHING IS AMAZING! This entire movie is gorgeous and keeps you hooked and almost forces you to continue watching, that's how amazing it is. The hype around this movie was 100% deserved and made sense, seeing as how this movie may be the greatest film I have ever seen.This isn't your run of the mill kids move, action movie, animated movie. It's a masterpiece that all ages can enjoy. An amazing sequel that sets extremely high hopes for the third movie.",positive
12,"It's been some time since I've walked out from a cinema feeling as satisfied by a film as this!I enjoyed Into The Spider-verse, in my humble opinion, this went one better, my anticipation for the next installment has definitely gone up a few notches.The best element for me, the visuals, I'd argue this was a labour of love by the team behind it, it looks sublime, the action sequences are seamless, one to the next, jaw dropping.Pacing is terrific, visit the loo or go for a drink at your peril, you may just miss something.I think this is a film that fans of Spider Man, any fans, new or old will enjoy, its appeal is so broad.I'm not a die hard Spidey fan, so some of it went over my head, but I am reliably informed by my fellow cinema goers that there were plenty of Easter eggs to hunt, lots of references to all forms of Spider Man.Shameik Moore did a first rate job, as did Hailee Steinfeld as Gwen, her character development was a key element.I assume this will win many awards, it deserves to, that good I'm going again!!!Nailed it!! 10/10.",positive
13,"It was the best, Probably the best animation i saw in my entire life.The art style was amazing, Sound design was perfect and even the storyline was too good!I hope the part 2 will release sooner!At my oponion, it was best spider man movie, You need to see this.Storyline was a kinda teenager type and was so goodI'll hope to see part 2
It was the best, Probably the best animation i saw in my entire life.The art style was amazing, Sound design was perfect and even the storyline was too good!Sony did great in this show, It will be in my memory for years, That was great for someone like me.",positive
14,"LIKES:The Pace For The Most Part
-Comic book movies are an art that requires balance to tell all it has to tell, and Miles' next story.. has A LOT to tell.-It found a good pace for me to tell the story, giving you the character development, but not at a pace that was too slow and lost on itself, for the most part.-Yet, the movie did manage to keep it slow enough that there was real development, build up, hints, and appreciation to age like fine wine.-This dynamic was very impressive to me, keeping an engaging movie for my attention, but not skimping out on the action like some of these deeper movies try to do.-That takes talent in the cooking pot as big as this, building on the past movie, but yet doing its own thing until the end for the setup.The Voice Acting
-Everyone rocks in this movie, and I have to agree with my friend that it is grade A on many levels with what you get in live action movies.-Isaac is still strong as the anti-hero role that he often plays. His moodiness, his anger, his dark edge are mirrored in the character. There is hurt, anguish, and the fire that he shows so well, and I love how his voice is the main focus in his performance and not the looks.-Hailee Steinfeld is fantastic in Gwen. It's like taking all of her characters from her movie and integrating a piece of them into this Gwen and expanding her far into a character I really liked.-She was vulnerable and strong, a realistic character whose performance came out in spades and fully awakened the character I think they were going for.-And Moore... well Moore is just freaking amazing as Morales. That tone, vulnerability, this maturity but still immaturity cascading and once more evolving a character from the first one being believable. A stellar performance and one that I think brought so many things together, engaging with each of the others into this dynamic role.-It all works so well and I loved the strong talent bringing things to life.The Storytelling
-There are so many who say that comic movies seldom tell a good story or are telling the same story over and over again. And to a degree... they are right.-Yet... for Across the Spider-Verse, that story feels fresh, engaging, and grounded to a degree that helps balance reality and super heroism into a great mashup.-It's not so in your face super adventures that are all about action, violence, and CGI madness, but it also isn't CW bologna about exploring our feelings in colorful underwear.-This sequel really focuses so much on building up characters, but integrating it into this main comic adventure that works to keep both involved and feel like a superhero.-I love the heart into it, and the way they built up from the first movie, but yet made this movie its own thing, until the final moments where the known cliffhanger was going to come in.-And to add relative components to it, engaging characters, and keeping those characters involved in the story... that is tough work.The Comedy To A degree
-I really enjoyed the diverse comedy in this movie, and how many types of jokes and styles that were in it.-Miles is sort of a jack of all trades, sarcasm, banter, slapstick, he has a little bit of everything in it and I love it.-Others are just rambling idiots who are throwing so many jokes and statements that some eventually hit, but you have to listen because they fluctuate in terms of volume and such.-And other jokes are so well-timed and loaded with sarcasm that you just appreciate the laugh from the time alone.-It has it all and in relative balance to keep things fresh and not overwhelmingly stale as they hope from one joke to the other.The Nostalgia and Easter Eggs
-Part of that comedy comes in the references loaded into this movie almost as much as the plot in this movie, and it works.-Across the Spider-Verse, tackles many famous tropes in both Spiderman comics and movies, blending the two of them together into this natural flowing arc that utilizes it well.-Nostalgia reigns supreme in this movie, all the comic and show references of the webbed wonder just taking my child nature and taking it for the roller coaster ride of finding everything I could.-But the movie references as well... so much fun as well, seeing these micro moments and nods to the other universes and watching them blended into the comedy and story.-Then to have it just in the world, it's going to make for a fun rewatch potential in the future.The Action Scenes
-A huge step up, Across the Spider-Verse took my dislike from the first film and unleashed much more of the action I knew it had.-The opening scene paints for some great things to come, but soon the fight scenes and adventure transform into something that is fun, exciting, and family friendly.-Chase scenes have energy, with styles that flow and show off the heart of the animation, feels of the comic book and fan art coming together into this cascade of color and energy.-I loved the way that they evolved past punches and added more emotions and stakes that though predictable still held glimmer of exciting twists if they come.-And the fact they can punch, kick, and slam without being bloody messes should please so many, alongside the fact that the action all goes in line with the actual plot.The Animation/Art Style
-You've seen the trailers and the first one and know how beautiful the movie is. Amidst the blurry backgrounds, the movie really has bold art direction that captures comic book spirit.-The computer animation goes well with the natural feel of the art, and I loved the way it felt like flipping through a flip book and seeing it come to life.-It respects both worlds so well, and like the story keeps things easy to follow and discover to appreciate everything the Spider-Verse had to offer. That was epic.-And to keep all that in relatively stable camera work, something the first movie struggled with, shows how you can really continue to improve if you take the time and think things through.DISLIKES:The Comedy A Bit Too Forced
-There are times where the humor is a bit forced for me, primarily in the moments where they just spout joke after joke after joke to the point where things get lost.-These moments are few and far between for me, but there are times where a character gets annoying over funny.Some Pacing Offsets
-There are times where the movie trips up on the pace for me. A few moments where the conversations are dragged out or we get a tad touchy feeling and not enough of seeing what's going on.-This happened about the first hour or so for me, but once that part passes most of the movie establishes the pace I talked about for much of the movie.-At least until the need.The Ending 20 minutes for me
-The ending 20 minutes felt very dragged out as it set up the cliffhanger we knew was coming the moment it said part 1 long ago.-The ending is very drawn out, you know the movie is over, and you know what is coming, but it uses the art to drag it out, bloating the movie for the twenty minutes that could have been in the next movie.-Fortunately one of the final moments adds that fantastic bridge with music, shots, and feels that work, but still... we could have cut a few things out.-And fortunately there are no end credits, which there does not need to be.The Sound Quality With Some Characters
-It might have been my theater, but some of the characters mumble and talk fast meaning... it's hard to hear them.-Spider-Punk has some of the best lines, but they get drowned out by background noise, mumbling speakers, and sound inconsistencies.-This leads to missing several things and taking away from the character that seems so cool, and this happens to several other characters when there is so much noise. As such, those moments are annoying to me, but again could be theater dependents.The VERDICT:
Overall, the praise is worthy to Across the Spider-Verse, and I was very happy with much of the film that they brought to life to this theater. It's a sequel that does things right, taking the first movie's foundations and bringing with it something to build up and enjoy to the full extent. That bold and beautiful art has been refined to near perfection, and does so much storytelling alone that it's almost enough to go see it just for that in theater. But the movie integrates story, morals, comedy, nostalgia, and action to a degree that really feels like some of the strongest storytelling in a superhero movie. I love the authentic feel of a superhero story, and I love the passion of balancing so much in a movie without every losing track of the story to tell. Sure there were pacing issues and some sound flops for me, but that's really minor when it comes to the movie overall and everything they did to make this movie the middle of the trilogy, but still stand on its own. You can obviously guess I'm recommending this for the theater, and yes families can see it as there aren't too much dark moments. And my scores for those who need it are:Animation/Action/Adventure: 9.0-9.5
Movie Overall: 8.5.",positive
15,"The first movie was great; original, funny, interesting, diverse. This movie is like you when say you like a song, so they play the same song twice as loud hoping you love it twice as much. It more disjointed, the emotions get lost, and really, the ending? In 2 hours and 16 minutes you can bring this movie to at least a temporary conclusion? The villain does not have a good enough back story to carry one, much less two movies. That said some of the spiderverses we see were very creative (especially India-Manhattan mix), and the lead character is as always very likeable. It's like they really didn't much else to say, and then they take too long to say what they did.",positive
16,"I was worried that Across the Spiderverse would not be able to match the success of it's predecessor Into the Spiderverse, but boy was I wrong. Across the Spiderverse blows it's predecessor out of the water. With higher stakes, more emotion and improvements on the already brilliant animation. My only annoyance with the film was that the British and Indian spiderman were very hard to understand, but once it hits streaming services that can be fixed with subtitles. The movie sadly does end on a cliffhanger as it is being released in two parts with the second part coming out in March 2024. I think Across the spiderverse has a real shot at the Oscar for best animated pictures, which Into the Spiderverse won in 2019.",positive
17,"Spider-Man: Into the Spider-Verse is probably my favorite Spider-Man movie. However, my feelings about Spider-Man: Across the Spider-Verse are currently glitching. On one hand, the action scenes are spectacular, and the animation is, once again, amazing. On the other hand, this movie is 2 hours and 20 minutes long and it feels like it. Plus, the visuals can be so kinetic that the film becomes busy & chaotic. This sequel offers some real drama, however it's not a complete story, and it ends on a cliffhanger. I think my rating will solidify when I watch Beyond the Spider-Verse and see how it all ends.",positive
18,"I loved into the spiderverse, it had great animation, great characters, great plot development and great music. There is simply no way across the spiderverse is better. By the end of this it felt like they were dragging it out and I had lost interest quite some time previously. The animation is good but sometimes less is more, and there was less differentiation between the styles, I don't think bill sienkiewicz was involved in this one. I remember my emotions building in the first one, peaking when what's up danger kicked in in the soundtrack, but this got into some schlocky emotional teen drama territory that made me yawn. I also felt it was a bit cynical to split it in two, I'm sure the full story could have been told in one movie which would have upped the quality of the animation too. Then there was the sense of universal danger overload that this and other stories revert to to ramp up the drama; whether a universe or every parallel universe and it's uncle is at stake, who cares, trying to make it bigger than before doesn't increase drama, that comes from character and plot development, yeah, like it did in the first one. It needed more jokes too, nowhere near as funny as the last time.",positive
19,"The good: This is a gorgeous and competently made film. With every scene / direction / frame constructed meticulously and it shows. It pushes the boundaries of animated movies and does it with style. The voice acting is good. The movie respects and pays homage to spider-man lore whilst offering something fresh (hard to pull off). Almost all the side characters feel real and fleshed out - even those with minimal screen time.The bad: It's most definitely a middle chapter and the film suffers for it. The movie is long, the pacing suffers, and scenes feel drawn out - which makes sense when you understand it's not trying to reach the end. The movie 'finishes' literally in the middle of a plot beat - when it didn't need to. Empire Strikes Back has shown us how it's done. It feels like pure marketing/money making tactics. A shame.Should you watch it: If you like Into the Spider-Verse - most definitely. The film pays homage to spider-man (both on and off screen) while offering something new. It's also just a brilliantly made animated film. Highly recommended.",neutral
20,It was absolutely awesome. I felt like I was traveling from the multiverse to my childhood back in 2002 when I saw Tobey maguire Spider-Man 21 years ago when I was 7 years old. And seeing all the other spider people including Spider-cat and Spider-rex . The spot traveling to venoms universe was absolutely hilarious. I hope to see ultimate Spider-Man from the video game I never finished on GameCube or Xbox for almost 17 years since I was a kid. Seeing 2018 Spider-Man from the PS4 game was very outstanding. I hope in Spider-Man beyond the spiderverse meets Tobey maguire and miles teams up with him and he helps him build the device and Gwen meets Andrew Garfield's Spider-Man and they help build the same device to bring miles home .,positive
21,"Is the best movie of the decade an over exaggeration for this movie? To put it simply, no. Everything about this film is perfect.... well, other than the stupid cliff hanger ending. But i've learn to accept it overtime. Anyway the animation is spectacular. It has so many little details that you've 100% missed. The story is also amazing. The characters all have great writing and some with unique art styles like spider-punk having different art styles almost everytime we see him because he hates consistensy. Speaking of spider-punk he's definetly my fav character. I hope he gets more screen time in the 3rd installation, beyond the spider-verse. Anyways this movie is perfect and I really look foward for the final installation for this series.",positive
22,"I said it and I don't feel sorry about it! I'm not a comic book lover but I am a bit of a nerd. I really enjoyed the first movie and it's aesthetic. This movie is better! Better I tell you! The story is well done... the visuals are mesmerizing... the score just clicks with the visual and story like Lego. I wanted more! I craved more! I was angry then it ended, because it ended. This these movies define what a comic book movie should be like. It makes the MCU seem like a dumpster of hot garbage. So well done!! Easily one of the best movies of the last 5 years.... Do yourself a favor... go see it. Do a friend a favor and take them with you.",positive
23,"This is whiteout a doubt peak Spider-Man and even peak cinema!Every scene in this animation movie was as good as perfect! The coloring, animation, character designs, music and the way they used the Spider humor was so funny and well timed!Bonding with character hasn't been as easy as it is here, they really explore the backgrounds of the different characters so emotional and passionately at the same time.It's a necessary darker & more emotional storyline for the characters but that's just how Peter Parkers storyline is...
It's a 2h20 movie but there wasn't one scene that I would've left out, I would've even preferred for it to go at almost 3h cause I wasn't a huge fan of the ending! You'll know when seeing it!There are so many Easter eggs & Spider-man's it to crazy for words!What more can i say than this is a masterpiece and probably the best Spider-Man movie to date!",positive
24,"Spider-Man: Across the Spider-Verse not only builds upon the brilliance of its predecessor but takes the scope of it to a whole new level. The film plunges audiences into an exhilarating journey across dimensions, where familiar characters and new faces collide in a visually stunning and emotionally resonant narrative.One of the standout aspects of this film is its ability to strike a delicate balance between paying homage to the original while expanding its universe in unexpected ways. The first movie introduced us to the groundbreaking animation style, capturing our hearts with its heartfelt storytelling and dynamic characters. Across the Spider-Verse, however, elevates the stakes and explores uncharted territories, pushing the boundaries of what we thought was possible in this genre of movies as a whole.The animation remains a work of art, with each frame bursting with energy, inventiveness, and meticulous attention to detail. From the kaleidoscopic visuals that bring the various universes to life, to the fluid and dynamic action sequences that leave us breathless, every moment is a testament to the creativity and talent of the filmmakers.Moreover, Across the Spider-Verse delves deeper into the characters we fell in love with in the first film, allowing them to evolve and face new challenges. The emotional depth and growth of the characters resonate with audiences on a profound level, making us cheer for their triumphs and empathize with their struggles. The film strikes a perfect balance between heartwarming moments, thrilling action, and thought-provoking themes, making it a truly unforgettable cinematic experience. However, audiences should go into this knowing that it's definitely a 'Part 1' of a larger narrative in every sense.In conclusion, Spider-Man: Across the Spider-Verse cements its place not only as a worthy successor to its predecessor but as a groundbreaking and unforgettable film in its own right. It expands the Spider-Verse in ways we couldn't have imagined, immersing us in a world of boundless imagination and emotional resonance. With its breathtaking animation, complex characters, and masterful storytelling, it stands as a testament to the power and potential of animated films, leaving audiences eagerly awaiting the next installment in this extraordinary franchise.Choosing between the two is like choosing between your kids - the first is a tighter story but this movie is far more expansive and blows the scope of the movie into the stratosphere taking risks along the way. They're equally perfect in different ways.",neutral
25,"I really enjoyed Into the Spider-Verse, but the way people hyped this movie up they made it seem like it was some award winning masterpiece of cinema but in my opinion it's fails to live up to the legacy of the first one.Visually this film is a spectacle like the first one but that only does so much when you are watching a 2hr+ film. The fact that this is a cliffhanger and it ends very abruptly makes it feel like it's both overly long and incomplete. There is so much going on in this film and so many new characters introduced and just as the plot finally starts to pick up and get good they end it on the cliffhanger. I don't understand how people are giving this movie such a high score but complaining so much about Fast X doing the same thing. This film is not complete and for that reason I felt like it wasn't as enjoyable as it could've been.",positive
26,"Spider-Man: Across the Spider-Verse is a disappointing sequel to the 2018 film Spider-Man: Into the Spider-Verse. The film is plagued by pacing issues, a reliance on clichés, and a lack of focus.The film's biggest problem is its length. At two hours and twenty minutes, it feels like two movies crammed into one. The first half of the film is slow and meandering, with too many subplots that don't really go anywhere. The second half of the film is much better, but it still feels rushed.Another issue with the film is its reliance on clichés. The theme of family is particularly overused, and it doesn't really add anything new to the story. The film also suffers from some pacing issues, with some scenes feeling too long and others feeling too short.Overall, Spider-Man: Across the Spider-Verse is a disappointing sequel that fails to live up to the high expectations set by its predecessor.",neutral
27,"Spider-Man: Across the Spider-Verse is the sequel to the critically acclaimed Spider-Man: Into the Spider-Verse, which was released in 2018. It offers audiences another Spider-Verse experience with its innovative animation style and thrilling story.The film continues to focus on the story of Miles Morales. Miles returns as the unique Spider-Man we met in the previous film, and this time, he teams up with Gwen Stacy/Spider-Gwen and encounters various Spider-Man heroes. Together, they embark on an adventure, traveling through multiple dimensions and presenting viewers with a much broader Spider-Verse world.The film retains some of the successful aspects from the first installment. First and foremost, it offers visually stunning animation. The vibrant and energetic scenes, along with striking character designs and detailed backgrounds, captivate the audience. The creative use of animation enhances the liveliness of the story and characters.In terms of the story, Across the Spider-Verse introduces a new and intriguing approach by utilizing the concept of multiple universes. The interactions between different Spider-Man versions add depth to the story and take the audience on a journey filled with surprises. It also focuses on character development and explores the internal conflicts of Miles Morales' superhero journey.The film's greatest strength, just like its predecessor, lies in its sense of humor. The comedic elements are cleverly and entertainingly used, appealing to all age groups. The humor helps balance the story and provides viewers with an enjoyable experience.Spider-Man: Across the Spider-Verse offers an exciting experience for fans of the first film. With its creative animation, compelling story, and impressive characters, this sequel further deepens the Spider-Verse universe. It is a must-watch for fans of the series.",positive
28,"As visually stunning and groundbreaking of the animation, unfortunately, it was too much to take. I'm in my early 40s so younger viewers probably won't be affected as much. Didn't have an issue with Into the Spider-verse, but apparently, they increased the intensity to the point that I left with a headache. The different frame rates of characters in the same scene, the visual distortion in the background at times, made it difficult to focus and was basically visual overstimulation. I enjoyed the story and would like to see Beyond the Spider-verse but may have to just read about it if the animation is as intense as this film.",positive
29,"I absolutely loved the previous movie Spider-Man: Into the Spiderverse, it became my favourite animation to date by far. The storyline, animation and soundtrack is amazing! 10/10...But I lost interest in Spider-Man: Across the Spider-Verse within 30mins. The storyline felt boring, repetitive and scatty. The cramming in of as many teen and family cliches as possible (in order to make it relatable no doubt) felt very forced and unnatural. It made it more of a teen movie, rather than for all the family like the last one. There is also a sense that the Diversity Equity Inclusion 'committee' strongly informed the story and characters, which again came across as forced, which left me wondering was their top priority writing a great story, or was it to meet certain DEI quotas.Anyway this film does not compare to the previous and I have no idea why it's scored so highly, one film is an absolute masterpiece, the other is a giant action-packed cliche.",positive
30,"Just watched the movie yesterday (and rewind the last 30 minutes or so several times!).Very few times in multiple film industry's history, the sequel surpassed its predecessors. ""Into the spider-verse"" put itself in such height with every possible parameters like story-line, character buildup, animation style etc and of course the music!Before watching ""across the spider-verse"", I was confident that, this one will at most come close to the first one, AT MOST...
But boy, was I wrong!! Without leaking any (probably!) spoilers, I'll say just this one thing. I watched about 4/5k movies plus TV shows at least. And I never gladly accepted a show/ movie which ended with a cliffhanger, actually hated them. But this one will remain the SINGULAR exception. And I'll be eagerly waiting for ""beyond the spider-verse"".And the last two songs (self love and am I dreaming) hit really hard, specially after watching the movie at one go. Been listening these two songs the whole day (before, after and even during the office time!)",neutral
31,"I was really blown away by this masterpiece. It's beautiful, clever, funny and deep. And it dares being a comics in each and every frame. It never allows you to forget these are drawn characters you see. Unlike so many animated movies of recent time it doesn't go for the smooth polished look it makes certain we never forget that we watch a comics book that was brought to life on screen. Just like Rembrandt made sure we all see his brush strokes when we watch his paintings. But just like Rembrandt, it's done without allowing the technical mastery of it all to drop one little bit. But it's way more than simple issue of the looks of it. This is comics all the way, thematically as well as visually, hence the ending we got.They didn't give up on anything; didn't allow a single detail to go amiss. They wouldn't give up on any bit of storytelling. It's all there, no matter how long the final cut will be, and still, it's not too long not even a second too long. The characters are all fully developed - real human beings drawn in comics form, but human just like any of us watching them on screen. It calls for some of the best voice acing I've seen, by each and every member of the cast. I simply can't single out anyone of them. They were all superb.And than the story itself - It's way more than just sci-fi comics. It doesn't limit itself to the usual issues of power and its moral implications. It's asking us the deep questions of what determines the path our life take? Are we ruled by our destiny? Is it all written in our stars? If I had a problem with most of the comics I read it was because of the fatalistic approach adopted by most of them. This one defies the tradition in the best way. It breaks down all the accepted rules and leaves us all hanging in one of the best cliff hangers ever.If you love comics, science fiction, action movies or simply real brilliant cinema - go see it.",positive
32,"Spider-man was a a visually transcendent cinematic experienceThat movie just did some incredible things for animation & story telling. It's ability to craft a physically, visual web of representation of all of the marvel universe, what it is and can be.And to top it off I bought the only ticket in the center of the IMAX movie theater. And I went Alone, because theres nothing wrong with carving our own path.. just like this movie... seriously if i could give a standing ovation without being literally the only dummy standing in the room. I would!Take mind: i was microdosing mushrooms, nonetheless im sure the majority of people would agree10/10.",neutral
33,"There are rarely movies that are better then the prequel - this movie is one of them. The amount of detail in the movie and the angles are ridiculously good. I really loved how gwen and miles' stories were expanded upon, and how many new characters were introduced - especially the scientist that got hit with a bagel in the previous movie. I was lucky enough to have the opportunity to view the screening of the movie, and that was the highlight of my day, keeping me on the seat waiting for the next big event. The only part I disliked was probably the ginormous cliff hanger at the end - since now I have to wait till next march to view the final movie.I CANNOT wait until the third one is released, and the day it gets released - will be going to the theater to watch it.",positive
34,"I can't even describe how much fun this movie was! The animation, the voiceover, the music (OHH, THE MUSIC). It was a complete surreal experience. Every frame of the movie looks so beautiful. The way that it has been stylized makes it so pleasing to your eyes. The story has different aspects running simultaneously that will keep you engaged till the very end and will leave you wanting for more. I'm pretty sure they're gonna make a third one and I simply can't wait for it. Don't miss this one in the theatres. It's one of a kind experience that needs to be enjoyed on the big screen. Alright, until next time! Peace!",positive
